user_id,product_id,up_order_count,up_first_order_number,up_last_order_number,up_average_cart_position,prod_tot_cnts,prod_reorder_tot_cnts,prod_buy_first_time_total_cnt,prod_reorder_ratio,prod_reorder_times,user_total_orders,user_sum_days_since_prior_order,user_mean_days_since_prior_order,user_reorder_ratio,user_total_products,user_distinct_products,user_average_basket,order_id,eval_set,time_since_last_order,up_order_rate,up_order_since_last_order,up_order_rate_since_first_order,reordered
1,196,10,1,10,1.4,35791,27791,8000,0.7764801207007348,4.473875,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,1.0,0,1.0,1.0
1,10258,9,2,10,3.3333333333333335,1946,1389,557,0.7137718396711202,3.4937163375224416,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.9,0,1.0,1.0
1,10326,1,5,5,5.0,5526,3603,1923,0.6520086862106406,2.873634945397816,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,5,0.16666666666666666,
1,12427,10,1,10,3.3,6476,4797,1679,0.7407350216182829,3.8570577724836212,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,1.0,0,1.0,
1,13032,3,2,10,6.333333333333333,3751,2465,1286,0.6571580911756865,2.916796267496112,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.3,0,0.3333333333333333,1.0
1,13176,2,2,5,6.0,379450,315913,63537,0.832555013835815,5.972110738624738,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.2,5,0.2222222222222222,
1,14084,1,1,1,2.0,15935,12923,3012,0.8109821148415438,5.29050464807437,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,9,0.1,
1,17122,1,5,5,6.0,13880,9377,4503,0.6755763688760807,3.082389518099045,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,5,0.16666666666666666,
1,25133,8,3,10,4.0,6196,4586,1610,0.7401549386701097,3.848447204968944,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.8,0,1.0,1.0
1,26088,2,1,2,4.5,2523,1360,1163,0.5390408244153785,2.1693895098882203,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.2,8,0.2,1.0
1,26405,2,1,4,5.0,1214,536,678,0.4415156507413509,1.7905604719764012,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.2,6,0.2,1.0
1,30450,1,3,3,5.0,21490,12178,9312,0.5666821777570963,2.307774914089347,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,7,0.125,
1,35951,1,10,10,7.0,57895,43875,14020,0.757837464375162,4.129457917261055,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,0,1.0,
1,38928,1,10,10,4.0,13238,10958,2280,0.8277685450974468,5.806140350877193,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,0,1.0,1.0
1,39657,1,10,10,3.0,5019,3846,1173,0.766288105200239,4.278772378516624,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,0,1.0,1.0
1,41787,1,5,5,7.0,35413,23015,12398,0.6499025781492672,2.8563477980319405,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.1,5,0.16666666666666666,
1,46149,3,8,10,3.0,8558,6953,1605,0.8124561813507829,5.3320872274143305,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.3,0,1.0,1.0
1,49235,2,8,9,3.5,76360,59672,16688,0.7814562598218963,4.575743048897412,10,176.0,19.555555555555557,0.7592592592592593,59,18,5.9,1187899,train,14.0,0.2,1,0.6666666666666666,1.0
